comment_id,comment_text,brand,search_term,source,additional_info
7271666875816592170,That’s like saying you can buy a leather bag for $1000 instead of $30000 for birkin,Cartier,like,TikTok,"{ likes: 1, date: '2023-08-26 16:21:41'}"
7271684285512336146,Thank god my mom bought them when their prices were 3000-2500,Cartier,price,TikTok,"{ likes: 2, date: '2023-08-26 17:29:09'}"
7271701467177091873,My name is Chanel😅🥰😁,Chanel,Chanel,TikTok,"{ likes: 0, date: '2023-08-26 18:36:01'}"
7271701537910784800,My name is Chanel,Chanel,Chanel,TikTok,"{ likes: 0, date: '2023-08-26 18:36:25'}"
7271704325863555842,Yeah but it’s more expensive because of the company’s value like Gucci can make a pair of pants for like 900$ when the cost was 20$ it’s js people,Cartier,like,TikTok,"{ likes: 1, date: '2023-08-26 18:47:01'}"
7271719009039500075,L take for Prada Black,Prada,Prada,TikTok,"{ likes: 0, date: '2023-08-26 19:43:54'}"
7271722270040277806,whats the point of buying an expensive purse if im not gonna wear it often,Chanel,expensive,TikTok,"{ likes: 0, date: '2023-08-26 19:56:36'}"
7271797336572904210,The thing is gold is gold. So whether you go to Cartier or to a regular gold shop you are still paying for the same thing (18K) and you could resell,Cartier,Cartier,TikTok,"{ likes: 1, date: '2023-08-27 00:48:13'}"
7271797528835408647,A brandless 18K gold and still profit. So Cartier is over charging for something you can get elsewhere for similar quality,Cartier,quality,TikTok,"{ likes: 1, date: '2023-08-27 00:48:53'}"
7271803648547029802,Noone wants an “inspired” Cartier Love Bracelet. Good for you and your 10 years. Shopping small is not a flex,Cartier,love,TikTok,"{ likes: 1, date: '2023-08-27 01:12:22'}"
7271923740605367073,Blazer lows are better,Nike,better,TikTok,"{ likes: 10, date: '2023-08-27 08:58:36'}"
7271998363457405742,At that price point you’re just wasting money to be able to say you wasted money,Hermes,price,TikTok,"{ likes: 2, date: '2023-08-27 13:48:14'}"
7272002525992878891,Oh my gosh love,Dior,love,TikTok,"{ likes: 1, date: '2023-08-27 14:04:21'}"
7272007967612273413,strangelove better bro,Nike,better,TikTok,"{ likes: 0, date: '2023-08-27 14:25:12'}"
7272008449167934241,3rd has always been my fave loveeeeee 🥰🥰🥰🥰,Dior,love,TikTok,"{ likes: 1, date: '2023-08-27 14:27:19'}"
7272012274207753006,Omg how do I become a Dior ambassador,Dior,Dior,TikTok,"{ likes: 4, date: '2023-08-27 14:42:17'}"
7272014737046242091,Chanel next 🥰,Dior,Chanel,TikTok,"{ likes: 3, date: '2023-08-27 14:51:41'}"
7272022033349133088,after 1-2 wears mine are literally destroyed with a lot of balls and lint. It has even lost its texture and shine. 0 QUALITY,H&M,quality,TikTok,"{ likes: 9, date: '2023-08-27 15:20:12'}"
7272025206830318341,Love love the D’joy!!!👏🏻👏🏻👏🏻👏🏻👏🏻💕💕💕💕🌸🌼🌺,Dior,love,TikTok,"{ likes: 0, date: '2023-08-27 15:32:05'}"
7272026108525314849,I love my Bobby with big cosy jumpers skinny jeans and riding boots in autumn/winter 😍,Dior,love,TikTok,"{ likes: 1, date: '2023-08-27 15:35:42'}"
7272031307637965611,Maybe it’s different in person but the floral print on the new dior bag looks very cheap to me like Chinatown vibes but maybe in person it’s better,Dior,better,TikTok,"{ likes: 12, date: '2023-08-27 15:55:55'}"
7272032283166032683,I would never have guessed you were 5’2”. You always look like a supermodel!!,Dior,like,TikTok,"{ likes: 14, date: '2023-08-27 15:59:37'}"
7272032963734455042,Dior bags are so versatile and very good quality!! I love the lady j joy it’s edgy and classy at the same time,Dior,quality,TikTok,"{ likes: 112, date: '2023-08-27 16:02:11'}"
7272035208118649633,DIOR AMBASSADOR 😵‍💫,Dior,Dior,TikTok,"{ likes: 475, date: '2023-08-27 16:11:07'}"
7272039330222441248,I don’t think they’re staring at that love,Hermes,love,TikTok,"{ likes: 0, date: '2023-08-27 16:27:18'}"
