comment_text,brand,search_term,source,additional_info
"@prada better take a look at this!😍",Prada,better,TikTok,"{ likes: 0, date: '2022-05-20 22:52:29'}"
"FACE OF PRADA",Prada,Prada,TikTok,"{ likes: 0, date: '2022-05-21 07:46:57'}"
"Prada is typing............",Prada,Prada,TikTok,"{ likes: 1, date: '2022-05-21 12:04:59'}"
"We love a Frauda 🤩",Prada,love,TikTok,"{ likes: 2, date: '2022-05-24 22:50:15'}"
"@u.sofiya you bestie",Gucci,best,TikTok,"{ likes: 6, date: '2022-05-29 16:30:02'}"
"Do you recommend any good price for a good designer bag? I wanna buy my first one but idk what to buy tbh",Prada,price,TikTok,"{ likes: 0, date: '2022-06-16 01:30:22'}"
"Omg you have passport dunks I want those really bad I love your videos btw 🥰",Nike,love,TikTok,"{ likes: 1, date: '2022-06-18 17:51:37'}"
"hey! i love your videos!",Nike,love,TikTok,"{ likes: 1, date: '2022-06-18 18:01:43'}"
"I love your account and your vibe and alll your videos",Nike,love,TikTok,"{ likes: 1, date: '2022-06-18 18:01:47'}"
"What color is the best?",Nike,best,TikTok,"{ likes: 3, date: '2022-06-18 18:40:33'}"
"Love it where do you get your dunks from?",Nike,love,TikTok,"{ likes: 2, date: '2022-06-18 19:05:37'}"
"I LOVEUE CLOTHHH AHH HI",Nike,love,TikTok,"{ likes: 1, date: '2022-06-18 23:17:51'}"
"What’s your favorite color for the dunks",Nike,color,TikTok,"{ likes: 2, date: '2022-06-19 12:14:37'}"
"@ilovemoney.com i love dunks",Nike,love,TikTok,"{ likes: 0, date: '2022-06-22 08:13:56'}"
"true love right there",Louis Vuitton,love,TikTok,"{ likes: 1, date: '2022-06-24 02:16:50'}"
"which dunks should i get??? light violet or pandas?? lemme know which one u like better 🙏😭",Nike,better,TikTok,"{ likes: 11, date: '2022-06-24 21:14:29'}"
"Which color do u recommend for dunks?",Nike,color,TikTok,"{ likes: 63, date: '2022-06-25 14:05:02'}"
"Perfect…Lady Dior ❤️👑",Dior,Dior,TikTok,"{ likes: 19, date: '2022-06-27 22:24:28'}"
"Omg I need to know what’s inside. The bag is bigger then you!! I love it",Gucci,love,TikTok,"{ likes: 5, date: '2022-06-28 01:55:25'}"
"I like the first one. I bet it’s hella expensive",H&M,expensive,TikTok,"{ likes: 1, date: '2022-07-02 00:00:07'}"
"What’s your wrist watch brand? I love it♥️",Dior,love,TikTok,"{ likes: 18, date: '2022-07-02 12:21:16'}"
"Love the collection",Nike,love,TikTok,"{ likes: 2, date: '2022-07-02 14:55:37'}"
"I want dunks I need dunks I love dunks",Nike,love,TikTok,"{ likes: 1, date: '2022-07-05 19:41:25'}"
"I hate Lv",Hermes,hate,TikTok,"{ likes: 0, date: '2022-07-13 00:46:56'}"
"Lv low-key loved putting people down u could tell",Hermes,love,TikTok,"{ likes: 2, date: '2022-07-13 07:31:33'}"
"LV is the best 😂😂😂",Hermes,best,TikTok,"{ likes: 0, date: '2022-07-13 08:42:36'}"
"Hate LV always acts so angryHermes",Louis Vuitton,hate,TikTok,"{ likes: 0, date: '2022-07-14 21:17:47'}"
"cant stand lv. love filly tho",Hermes,love,TikTok,"{ likes: 1963, date: '2022-07-14 21:20:28'}"
"What’s with this lv hate😂",Hermes,hate,TikTok,"{ likes: 0, date: '2022-07-14 21:34:17'}"
"Omg that’s gorgeous but you should only wear it if you’re comfortable with it <3",Zara,comfortable,TikTok,"{ likes: 2, date: '2022-07-15 15:26:18'}"
"The color looks so good on you😁",Zara,color,TikTok,"{ likes: 0, date: '2022-07-15 15:27:30'}"
"It looks like sexy pajamas 😂",Zara,like,TikTok,"{ likes: 8, date: '2022-07-15 15:32:15'}"
"I love it omg",Zara,love,TikTok,"{ likes: 0, date: '2022-07-15 15:39:31'}"
"it's the length babe. the material doesn't sit nicely on curves. it wld look better shorter",Zara,better,TikTok,"{ likes: 48, date: '2022-07-15 15:45:16'}"
"Maybe wear it like you’re going out",Zara,like,TikTok,"{ likes: 0, date: '2022-07-15 15:45:40'}"
"I love the dress",Zara,love,TikTok,"{ likes: 1, date: '2022-07-15 15:58:22'}"
"I love the dress keep it plssss",Zara,love,TikTok,"{ likes: 0, date: '2022-07-15 16:06:04'}"
"You look amazing !!!! I love it !",Zara,love,TikTok,"{ likes: 0, date: '2022-07-15 16:06:48'}"
"Bruh you look amazing wtf so aesthetic",Zara,aesthetic,TikTok,"{ likes: 0, date: '2022-07-15 16:06:52'}"
"It look great but but I think it look better with neck less",Zara,better,TikTok,"{ likes: 0, date: '2022-07-15 16:09:42'}"
