,Brand,Search,Comments,Source,Additional info
91,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+if people are wondering they come out on sneakers on july 3rd,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
92,Nike,waste,Waste Avoidance | Circularity: Guiding the Future of Design | Nike+i a NIKE é Nota: 10 (dez),https://www.youtube.com//watch?v=l3E8ZGU_V4o&pp=ygULTmlrZSB3YXN0ZSA%3D,
93,Nike,waste,Waste Avoidance | Circularity: Guiding the Future of Design | Nike+Overseas made junk.,https://www.youtube.com//watch?v=l3E8ZGU_V4o&pp=ygULTmlrZSB3YXN0ZSA%3D,
94,Nike,waste,"Waste Avoidance | Circularity: Guiding the Future of Design | Nike+So now the US 13 states flag is offensive NIKE?  I will NEVER BUY YOUR PRODUCT AGAIN, I WILL TELL ALL MY FRIENDS, FAMILY NOT TO BUY YOUR PRODUCT.,  I will Not allow my kids to buy your product.   30 years Ive been a customer....Ill start buying Adidas from now on.  Im a Chinese American Immigrant and proud US Citizen",https://www.youtube.com//watch?v=l3E8ZGU_V4o&pp=ygULTmlrZSB3YXN0ZSA%3D,
95,Nike,waste,Waste Avoidance | Circularity: Guiding the Future of Design | Nike+Meu sonho é trabalhar na nike,https://www.youtube.com//watch?v=l3E8ZGU_V4o&pp=ygULTmlrZSB3YXN0ZSA%3D,
97,Nike,waste,Waste Avoidance | Circularity: Guiding the Future of Design | Nike+I would like thatis so cool,https://www.youtube.com//watch?v=l3E8ZGU_V4o&pp=ygULTmlrZSB3YXN0ZSA%3D,
98,Nike,waste,Waste Avoidance | Circularity: Guiding the Future of Design | Nike+What garbage making them rich all are in big houses thanks to all the stupid people ceo is laughing all the way to the bank his salery makes me sick,https://www.youtube.com//watch?v=l3E8ZGU_V4o&pp=ygULTmlrZSB3YXN0ZSA%3D,
99,Nike,waste,Waste Avoidance | Circularity: Guiding the Future of Design | Nike+I swear those vapormaxes are clean,https://www.youtube.com//watch?v=l3E8ZGU_V4o&pp=ygULTmlrZSB3YXN0ZSA%3D,
150,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+Very Fantastic,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
152,Dior,fast fashion,"'Lady Dior' Handbag Savoir-Faire+Wow que belleza,arduo trabajo.Felicidades son geniales.",https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
153,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+I fell in love with dior at 10 years old. I told myself when I get older I would own all the color it came in. I'm 27 bags in this year's.,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
154,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+Niceee creatif,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
155,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+WOWWWWW THE MOST BEAUTIFUL BAG,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
156,Dior,fast fashion,"'Lady Dior' Handbag Savoir-Faire+On my wishlist, a work of art",https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
158,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+best women bag Thank You.,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
159,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+Such perfection.,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
160,Dior,fast fashion,"'Lady Dior' Handbag Savoir-Faire+A true, flawless work of art! ️",https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
161,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+Good Job,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
162,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+Such detailed craftsmanship. Beautiful,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
163,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+Perfect process,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
178,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+What a beauty!,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
179,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+Good personality handbag branded...everyone like it...good job,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
181,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+Just watching this makes me feel so satisfied,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
182,Dior,fast fashion,"'Lady Dior' Handbag Savoir-Faire+This was interesting to watch, thank you",https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
183,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+That was amazing!,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
184,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+This is just amazing,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
186,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+I like,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
212,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+Vary vary nice,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
213,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+Nice stitch nice bag,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
214,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+Nice love it,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
216,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+I have one.. I love my black Lady Dior so much,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
217,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+I love this bag  dior,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
218,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+Ready for diy my own dior bag,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
219,Dior,fast fashion,'Lady Dior' Handbag Savoir-Faire+I really dream owning this bag but I don’t know when or can i? Sadlyf,https://www.youtube.com//watch?v=PS78866qStM&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
221,Dior,fast fashion,The Dior Men’s Summer 2024 Show+Absolutely fascinating on the logistics of this show. Completely innovative and incredible.,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
222,Dior,fast fashion,"The Dior Men’s Summer 2024 Show+Not a big fan of most of the clothes on this show, but the lay out and execution was amazing!!!",https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
223,Dior,fast fashion,The Dior Men’s Summer 2024 Show+Nunu el más bello representante de DIOR. Bendiciones desde México.,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
224,Dior,fast fashion,"The Dior Men’s Summer 2024 Show+Pure Genius!!! As a designer myself, I am always interested in the conceptual process that other designers employ to develop their collections. I watched a companion video to this runway show that explained the design thinking behind the clothing. Creative Director Kim Jones researched the Dior archives and referenced women's collections from the 1960s, but reinterpreted for menswear. They created innovation tweed textiles woven with several different fibers. I particularly love the accessories, the velvet flower jewelry, hand-crafted by Chinese artisans, and the knitted hats, which are the genius of the Dior milliner Stephen Jones. It's great to see designers pushing the envelope like this. I can think of one other designer in the same league, John Galliano, and his collections for Maison Margiela.",https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
226,Dior,fast fashion,"The Dior Men’s Summer 2024 Show+Awesome and magnificent performance. I wonder how nice it is to sit there in reality and watch this. Not a fashion nerd, but the way how some models stood still while others were walking occured thoughts to me that fashion designers want people to see their attire not only in still positions, but also in motion compared to the crowd. Nice",https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
227,Dior,fast fashion,The Dior Men’s Summer 2024 Show+Eunwoo is elegance and perfection definition 🫶,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
228,Dior,fast fashion,The Dior Men’s Summer 2024 Show+Hermosoooo nuestro Cha - Eunwoo,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
229,Dior,fast fashion,The Dior Men’s Summer 2024 Show+I loved how Dior presented the fashion show. What an innovative idea to present the fashion show. I mean everything about it is amazing the clothes the design of the runway and how the models came out.,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
231,Dior,fast fashion,The Dior Men’s Summer 2024 Show+Really beautiful .. #ChaEunWoo is the ultimate Prince of perfection....Dior Prince,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
232,Dior,fast fashion,"The Dior Men’s Summer 2024 Show+I tell people all the time it's not just about designing and making clothes, how you present your stuff is very important, I don't like most of these outfits but the way they are presented makes me feel like I want to buy every single piece, big thumbs ups to whoever who planned/organized this show",https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
233,Dior,fast fashion,The Dior Men’s Summer 2024 Show+Prince Eunwoo  el más bello inteligente caballero y un ángel el mejor embajador Dior ️️,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
234,Dior,fast fashion,The Dior Men’s Summer 2024 Show+CHA EUNWOO es la perfección hecha hombre,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
236,Dior,fast fashion,The Dior Men’s Summer 2024 Show+El invitado más esperado  y el más guapo Cha Eunwoo,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
237,Dior,fast fashion,The Dior Men’s Summer 2024 Show+the show blew me away . so good. the tailoring of the clothes and the blazers and fabrics and man the presentation need i say that floor?! wow awesome,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
238,Dior,fast fashion,The Dior Men’s Summer 2024 Show+As always Eun woo so handsome,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
257,Dior,fast fashion,The Dior Men’s Summer 2024 Show+I loved,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
258,Dior,fast fashion,"The Dior Men’s Summer 2024 Show+Cha Eun Woo, impecable, elegante , bello príncipe de Dior",https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
260,Dior,fast fashion,The Dior Men’s Summer 2024 Show+Chaeunwoo ️️️️,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
261,Dior,fast fashion,The Dior Men’s Summer 2024 Show+Chaeunwoo perfection in every way,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
262,Dior,fast fashion,The Dior Men’s Summer 2024 Show+Me encanta Cha Eun Woo siempre con una presencia elegante  felicidades,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
263,Dior,fast fashion,The Dior Men’s Summer 2024 Show+This show is a triumph. It will go down in fashion history.,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
265,Dior,fast fashion,The Dior Men’s Summer 2024 Show+The main event is Dior Genius Cha Eunwoo Prince of Dior,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
266,Dior,fast fashion,The Dior Men’s Summer 2024 Show+DIOR GENIUS CHAEUNWOO,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
